,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
93435,94688,Male,disloyal Customer,38.0,Business travel,Business,441,3,2,2,1,2.0,2.0,2,2,5,3,,5,4,2,0,0.0,1
42994,43659,Male,Loyal Customer,40.0,Business travel,Eco,700,2,4,4,4,2.0,2.0,2,2,1,1,4.0,4,4,2,15,26.0,1
21294,21499,Female,Loyal Customer,19.0,Personal Travel,Eco,399,1,4,1,1,4.0,1.0,4,4,3,1,1.0,1,3,4,0,0.0,1
25483,25746,Female,Loyal Customer,53.0,Business travel,Business,2346,1,1,1,1,5.0,3.0,3,4,4,4,4.0,5,4,4,4,0.0,0
24812,25075,Male,Loyal Customer,47.0,Business travel,Eco,957,3,3,3,3,3.0,3.0,3,3,2,1,3.0,1,4,3,83,73.0,1
66296,67542,Male,Loyal Customer,19.0,Personal Travel,Business,1313,2,5,2,1,4.0,2.0,4,4,4,5,5.0,5,5,4,0,0.0,1
26916,27179,Female,Loyal Customer,34.0,Personal Travel,Eco,2688,3,5,3,4,3.0,5.0,5,4,3,3,5.0,5,5,5,1,0.0,1
11191,11346,Male,Loyal Customer,18.0,Personal Travel,Eco,309,4,4,4,3,5.0,4.0,5,5,5,3,5.0,3,4,5,0,0.0,0
127895,129199,Male,Loyal Customer,45.0,Business travel,Business,2419,4,4,4,4,2.0,5.0,4,5,5,5,5.0,4,5,5,3,0.0,0
122406,123686,Female,disloyal Customer,38.0,Business travel,Eco,214,4,0,3,1,4.0,3.0,4,4,2,3,1.0,1,3,4,0,0.0,0
116523,117776,Female,Loyal Customer,48.0,Personal Travel,Business,1912,2,4,2,3,4.0,5.0,5,2,2,2,2.0,5,2,3,0,0.0,1
573,597,Female,Loyal Customer,46.0,Business travel,Business,3100,2,2,2,2,4.0,5.0,4,4,4,4,4.0,4,4,5,0,0.0,0
117012,118265,Female,Loyal Customer,48.0,Business travel,Eco Plus,1972,3,2,4,4,4.0,2.0,3,3,3,3,3.0,3,3,2,59,58.0,1
98719,99972,Male,Loyal Customer,34.0,Personal Travel,Eco,888,5,3,5,3,1.0,5.0,1,1,3,2,4.0,1,4,1,0,0.0,0
13891,14048,Female,Loyal Customer,61.0,Personal Travel,Eco Plus,106,2,4,0,4,4.0,5.0,5,1,1,0,1.0,4,1,5,0,0.0,1
119934,121208,Male,Loyal Customer,46.0,Personal Travel,Eco Plus,2370,2,5,2,1,2.0,3.0,3,3,2,5,4.0,3,5,3,0,1.0,1
38863,39527,Female,Loyal Customer,70.0,Personal Travel,Eco,852,4,4,4,5,5.0,4.0,4,3,3,4,1.0,5,3,5,7,0.0,1
42466,43131,Female,Loyal Customer,54.0,Business travel,Eco Plus,236,3,4,3,3,5.0,2.0,4,2,2,3,2.0,4,2,3,0,6.0,0
110274,111527,Male,Loyal Customer,45.0,Business travel,Business,3700,2,2,2,2,3.0,4.0,4,5,5,5,5.0,4,5,3,77,86.0,0
119827,121101,Male,Loyal Customer,58.0,Business travel,Business,2370,2,2,2,2,4.0,3.0,4,3,3,3,3.0,4,3,3,1,0.0,0
89758,91011,Male,Loyal Customer,52.0,Personal Travel,Eco,515,2,5,2,4,3.0,2.0,3,3,3,4,4.0,5,4,3,0,0.0,1
100015,101268,Female,Loyal Customer,70.0,Personal Travel,Eco,2176,3,4,3,2,3.0,1.0,1,4,4,3,3.0,1,4,1,207,176.0,1
11955,12112,Male,Loyal Customer,39.0,Business travel,Business,3399,3,4,5,4,1.0,3.0,2,3,3,3,3.0,1,3,2,0,19.0,1
66537,67783,Female,disloyal Customer,25.0,Business travel,Eco,1205,1,1,1,3,3.0,1.0,3,3,2,3,3.0,4,4,3,17,16.0,1
694,731,Female,disloyal Customer,22.0,Business travel,Business,164,1,2,1,3,4.0,1.0,4,4,1,1,3.0,2,3,4,3,0.0,1
15697,15871,Male,disloyal Customer,37.0,Business travel,Eco,618,3,3,4,4,3.0,4.0,3,3,3,3,3.0,4,3,3,43,50.0,1
90935,92188,Male,disloyal Customer,14.0,Business travel,Eco,920,3,3,3,4,4.0,3.0,4,4,3,5,2.0,2,4,4,0,0.0,1
23728,23991,Male,Loyal Customer,57.0,Business travel,Eco,562,4,5,5,5,4.0,4.0,4,4,3,5,3.0,5,2,4,0,0.0,0
26461,26724,Male,Loyal Customer,31.0,Business travel,Eco Plus,581,5,4,3,4,5.0,5.0,5,5,3,3,3.0,3,3,5,0,0.0,0
89874,91127,Male,Loyal Customer,17.0,Personal Travel,Eco,366,3,4,3,3,5.0,3.0,5,5,4,3,4.0,4,5,5,0,0.0,1
126450,127754,Female,Loyal Customer,49.0,Personal Travel,Eco,601,3,4,3,2,2.0,4.0,5,5,5,3,5.0,4,5,3,0,0.0,1
95905,97158,Male,Loyal Customer,22.0,Business travel,Business,3959,2,4,4,4,2.0,2.0,2,2,2,3,4.0,4,4,2,15,11.0,1
115944,117197,Female,Loyal Customer,23.0,Personal Travel,Eco,647,4,5,4,4,5.0,4.0,5,5,1,2,3.0,4,1,5,4,0.0,1
113032,114285,Female,Loyal Customer,40.0,Personal Travel,Eco,853,2,5,2,2,3.0,2.0,1,3,4,4,5.0,3,4,3,34,9.0,1
74108,75354,Female,Loyal Customer,58.0,Business travel,Business,2504,4,4,4,4,2.0,4.0,4,4,4,4,4.0,3,4,4,0,0.0,0
81115,82365,Female,Loyal Customer,64.0,Personal Travel,Eco,453,2,5,2,5,5.0,4.0,4,2,2,2,2.0,4,2,4,0,3.0,1
113505,114758,Male,Loyal Customer,43.0,Business travel,Business,390,1,1,1,1,4.0,5.0,4,4,4,4,4.0,4,4,5,22,19.0,0
120576,121850,Female,disloyal Customer,39.0,Business travel,Business,449,3,3,3,4,3.0,3.0,3,3,5,4,5.0,5,4,3,0,0.0,1
31252,31569,Female,Loyal Customer,30.0,Personal Travel,Eco Plus,853,3,2,2,4,4.0,2.0,4,4,4,5,3.0,3,3,4,0,32.0,1
43836,44520,Female,Loyal Customer,27.0,Business travel,Business,3875,0,5,0,1,5.0,2.0,2,5,3,4,4.0,2,3,5,60,47.0,0
1939,2030,Female,disloyal Customer,26.0,Business travel,Eco,733,3,2,2,4,4.0,2.0,4,4,1,5,3.0,2,4,4,0,0.0,1
75115,76361,Male,Loyal Customer,59.0,Business travel,Business,3322,2,2,2,2,5.0,5.0,4,3,3,3,3.0,5,3,3,0,3.0,0
54815,56061,Female,Loyal Customer,64.0,Personal Travel,Eco,2475,3,5,3,1,3.0,1.0,1,5,4,5,1.0,1,1,1,0,0.0,1
33489,34077,Female,Loyal Customer,22.0,Business travel,Eco Plus,1674,5,1,1,1,5.0,4.0,5,5,4,3,5.0,4,1,5,4,0.0,0
15599,15773,Female,Loyal Customer,62.0,Business travel,Business,198,4,5,5,5,1.0,4.0,1,3,2,3,4.0,1,3,1,285,251.0,1
28670,28933,Male,Loyal Customer,45.0,Business travel,Business,2610,1,1,4,1,3.0,4.0,3,5,5,5,5.0,2,5,3,0,0.0,0
92581,93834,Male,Loyal Customer,44.0,Business travel,Business,2965,4,4,4,4,5.0,4.0,5,5,5,5,5.0,3,5,2,0,0.0,0
50518,51764,Male,Loyal Customer,25.0,Personal Travel,Eco,237,0,5,0,3,4.0,0.0,4,4,5,2,5.0,4,4,4,0,0.0,0
63888,65134,Female,Loyal Customer,70.0,Personal Travel,Eco,190,3,0,3,1,1.0,5.0,4,3,3,3,3.0,5,3,3,14,6.0,1
77189,78436,Female,Loyal Customer,27.0,Business travel,Business,3044,1,1,1,1,5.0,5.0,5,5,3,2,5.0,4,4,5,14,10.0,0
39958,40622,Male,Loyal Customer,28.0,Personal Travel,Eco,391,1,4,1,1,3.0,1.0,4,3,4,5,4.0,5,4,3,0,0.0,1
29956,30273,Male,Loyal Customer,51.0,Business travel,Business,2534,1,1,1,1,2.0,1.0,1,5,5,5,5.0,4,5,3,0,0.0,0
98617,99870,Female,Loyal Customer,31.0,Business travel,Eco Plus,587,4,2,2,2,4.0,3.0,4,4,3,4,3.0,1,3,4,0,0.0,1
77769,79018,Female,disloyal Customer,33.0,Business travel,Business,356,2,3,3,2,4.0,3.0,4,4,5,2,5.0,3,5,4,0,0.0,1
58601,59847,Female,Loyal Customer,47.0,Business travel,Business,2343,4,4,4,4,2.0,5.0,4,4,4,5,4.0,5,4,4,0,63.0,0
41965,42630,Female,Loyal Customer,42.0,Business travel,Business,2629,1,1,1,1,5.0,4.0,4,1,1,1,1.0,3,1,2,0,0.0,1
119033,120286,Female,Loyal Customer,47.0,Business travel,Business,3959,4,4,4,4,3.0,3.0,5,5,5,5,5.0,5,5,3,71,58.0,0
123313,124608,Male,Loyal Customer,23.0,Business travel,Business,1671,1,1,1,1,5.0,5.0,5,5,5,4,5.0,3,4,5,0,5.0,0
109020,110273,Male,disloyal Customer,21.0,Business travel,Eco,925,2,2,2,4,2.0,2.0,2,2,1,3,4.0,1,3,2,1,0.0,1
74765,76011,Female,Loyal Customer,,Business travel,Business,237,3,3,3,3,3.0,4.0,4,5,5,5,5.0,4,5,5,83,79.0,0
16435,16609,Male,Loyal Customer,40.0,Business travel,Business,3230,1,1,1,1,3.0,1.0,1,5,5,5,5.0,4,5,5,0,0.0,0
35551,36141,Female,Loyal Customer,17.0,Personal Travel,Eco,1698,2,3,2,3,1.0,2.0,1,1,2,4,3.0,3,4,1,8,6.0,1
122675,123966,Male,Loyal Customer,58.0,Business travel,Business,2002,3,3,3,3,2.0,4.0,5,4,4,4,4.0,3,4,5,0,0.0,0
39679,40343,Male,Loyal Customer,22.0,Business travel,Eco,1156,5,2,2,2,5.0,5.0,4,5,3,5,2.0,3,1,5,0,0.0,0
65888,67134,Male,disloyal Customer,29.0,Business travel,Business,929,3,2,2,1,4.0,2.0,4,4,5,2,,4,4,4,0,1.0,1
67123,68369,Male,Loyal Customer,52.0,Business travel,Business,3974,1,1,1,1,5.0,4.0,5,5,5,4,5.0,4,5,3,34,27.0,0
35415,36005,Female,Loyal Customer,45.0,Business travel,Business,3089,4,5,4,4,2.0,4.0,4,5,5,5,5.0,4,5,2,0,0.0,0
127770,129074,Female,Loyal Customer,28.0,Personal Travel,Business,2342,3,4,3,3,3.0,3.0,3,1,3,5,5.0,3,3,3,0,0.0,1
94269,95522,Female,disloyal Customer,65.0,Business travel,Eco Plus,128,3,3,3,1,4.0,3.0,5,4,4,2,2.0,5,5,4,0,0.0,1
22175,22401,Male,Loyal Customer,32.0,Business travel,Business,238,5,5,5,5,4.0,4.0,4,4,3,2,4.0,1,3,4,0,1.0,0
64999,66245,Female,Loyal Customer,10.0,Personal Travel,Eco,550,2,4,3,3,4.0,3.0,4,4,3,5,4.0,3,4,4,18,13.0,1
97041,98294,Female,Loyal Customer,7.0,Personal Travel,Eco,1072,3,5,3,2,5.0,3.0,5,5,3,5,5.0,3,4,5,5,28.0,1
68595,69841,Male,Loyal Customer,43.0,Personal Travel,Eco,1055,5,4,5,3,2.0,5.0,2,2,4,2,4.0,3,5,2,35,45.0,0
22022,22227,Female,disloyal Customer,22.0,Business travel,Eco Plus,633,3,3,3,4,5.0,3.0,5,5,3,2,4.0,4,3,5,34,20.0,1
120254,121528,Female,Loyal Customer,40.0,Business travel,Business,912,5,5,5,5,4.0,4.0,5,5,5,5,5.0,3,5,4,0,0.0,0
48676,49601,Female,Loyal Customer,49.0,Business travel,Eco,207,5,4,4,4,2.0,1.0,3,5,5,5,5.0,1,5,2,0,0.0,0
87851,89104,Male,Loyal Customer,47.0,Business travel,Business,1919,3,3,3,3,5.0,5.0,4,5,5,5,5.0,3,5,5,3,5.0,0
29000,29263,Male,Loyal Customer,36.0,Business travel,Eco,550,3,4,4,4,4.0,3.0,3,4,5,4,3.0,3,2,3,212,222.0,0
2110,2201,Male,Loyal Customer,52.0,Personal Travel,Eco,685,4,4,4,5,4.0,4.0,4,4,3,4,5.0,5,4,4,0,0.0,0
96315,97568,Male,Loyal Customer,43.0,Business travel,Business,1563,0,0,0,5,3.0,5.0,5,2,2,2,2.0,4,2,4,80,74.0,0
6350,6454,Female,Loyal Customer,43.0,Business travel,Business,3245,0,0,0,4,5.0,5.0,5,2,2,2,2.0,4,2,5,27,102.0,0
101579,102832,Female,disloyal Customer,25.0,Business travel,Business,423,5,0,4,2,3.0,4.0,3,3,3,4,4.0,5,4,3,35,24.0,0
111229,112482,Female,Loyal Customer,58.0,Personal Travel,Eco,846,1,5,1,2,5.0,3.0,3,3,3,1,2.0,4,3,4,43,30.0,1
49464,50525,Female,Loyal Customer,7.0,Personal Travel,Eco,373,3,2,3,3,1.0,3.0,1,1,2,1,3.0,3,3,1,6,1.0,1
31640,31964,Female,Loyal Customer,36.0,Business travel,Business,1638,2,2,3,2,2.0,5.0,5,4,4,4,5.0,3,4,4,0,0.0,0
125478,126782,Male,Loyal Customer,33.0,Business travel,Business,2077,2,3,3,3,2.0,2.0,2,2,4,3,4.0,1,4,2,0,6.0,1
44546,45300,Male,Loyal Customer,33.0,Business travel,Eco,188,3,3,3,3,3.0,2.0,3,3,4,1,3.0,1,3,3,0,4.0,1
53389,54635,Female,Loyal Customer,29.0,Business travel,Business,2026,1,3,1,1,5.0,5.0,5,5,4,1,3.0,2,4,5,13,12.0,0
94737,95990,Male,Loyal Customer,54.0,Business travel,Business,2500,3,3,3,3,2.0,4.0,4,3,3,4,3.0,5,3,5,0,0.0,0
54044,55290,Male,Loyal Customer,55.0,Business travel,Business,1185,3,3,1,3,5.0,1.0,5,5,5,5,5.0,4,5,1,42,40.0,0
51106,52352,Male,Loyal Customer,54.0,Personal Travel,Eco,493,1,5,1,3,3.0,1.0,3,3,4,4,4.0,4,5,3,0,25.0,1
27563,27826,Female,disloyal Customer,24.0,Business travel,Eco,680,4,4,4,1,3.0,4.0,3,3,4,1,4.0,1,3,3,0,0.0,0
106940,108193,Male,Loyal Customer,55.0,Business travel,Business,1624,4,4,4,4,4.0,5.0,5,5,5,5,5.0,5,5,3,0,0.0,0
73911,75157,Male,disloyal Customer,22.0,Business travel,Eco,1166,2,2,2,3,1.0,2.0,1,1,4,3,3.0,4,3,1,0,11.0,1
60054,61300,Female,Loyal Customer,34.0,Personal Travel,Eco,967,3,5,3,3,2.0,3.0,2,2,5,4,4.0,4,5,2,10,31.0,1
8380,8484,Male,Loyal Customer,60.0,Business travel,Business,677,1,1,1,1,4.0,4.0,4,4,3,4,4.0,4,4,4,174,172.0,0
56390,57636,Male,Loyal Customer,46.0,Business travel,Business,3183,2,5,5,5,2.0,2.0,3,2,2,2,2.0,2,2,1,0,0.0,1
99738,100991,Male,disloyal Customer,23.0,Business travel,Business,564,5,0,5,4,4.0,5.0,4,4,5,2,5.0,4,5,4,3,0.0,0
25717,25980,Male,Loyal Customer,30.0,Personal Travel,Business,577,1,4,1,2,1.0,1.0,1,1,3,5,5.0,4,5,1,0,0.0,1
71075,72321,Female,Loyal Customer,39.0,Business travel,Business,2981,2,2,2,2,2.0,5.0,5,4,4,4,4.0,5,4,5,0,0.0,0
87520,88773,Male,Loyal Customer,58.0,Business travel,Business,3016,4,4,4,4,4.0,4.0,4,5,5,5,5.0,3,5,4,0,0.0,0
115075,116328,Female,Loyal Customer,12.0,Personal Travel,Eco,337,4,5,3,3,2.0,3.0,2,2,5,2,4.0,5,5,2,53,49.0,1
29138,29401,Female,Loyal Customer,14.0,Personal Travel,Eco,2404,2,3,2,2,2.0,2.0,2,5,1,5,2.0,2,2,2,0,0.0,1
35386,35976,Male,Loyal Customer,54.0,Business travel,Eco Plus,231,2,3,3,3,1.0,2.0,1,1,4,1,4.0,4,4,1,0,0.0,1
98765,100018,Female,disloyal Customer,57.0,Business travel,Business,277,2,2,2,5,1.0,2.0,1,1,4,4,5.0,4,4,1,79,71.0,1
3916,4007,Female,Loyal Customer,55.0,Business travel,Business,483,1,1,1,1,5.0,4.0,4,5,5,5,5.0,5,5,3,0,0.0,0
5640,5733,Female,Loyal Customer,23.0,Personal Travel,Eco Plus,196,4,5,0,3,1.0,0.0,1,1,3,5,5.0,4,5,1,0,0.0,1
46745,47559,Male,Loyal Customer,27.0,Business travel,Eco Plus,599,1,4,4,4,1.0,1.0,1,1,1,1,3.0,2,3,1,0,1.0,1
61665,62911,Male,disloyal Customer,22.0,Business travel,Eco,862,2,2,2,1,2.0,2.0,2,2,3,3,5.0,5,4,2,90,77.0,1
47975,48805,Male,Loyal Customer,29.0,Personal Travel,Business,190,3,4,3,1,3.0,3.0,3,3,5,4,5.0,3,5,3,89,111.0,1
111696,112949,Male,Loyal Customer,29.0,Personal Travel,Eco,1390,3,4,3,2,1.0,3.0,1,1,3,3,5.0,4,5,1,0,0.0,1
5836,5939,Female,Loyal Customer,25.0,Business travel,Business,1856,4,4,4,4,4.0,4.0,5,4,3,2,4.0,4,4,4,32,18.0,0
64322,65568,Male,disloyal Customer,24.0,Business travel,Business,237,4,4,4,4,1.0,4.0,1,1,4,3,4.0,4,5,1,1,0.0,0
2226,2317,Female,Loyal Customer,70.0,Personal Travel,Eco,691,4,2,4,3,3.0,3.0,3,4,4,4,4.0,3,4,1,16,13.0,1
48448,49351,Female,disloyal Customer,27.0,Business travel,Eco,209,3,0,3,2,4.0,3.0,4,4,5,5,4.0,3,1,4,0,0.0,1
126394,127698,Female,disloyal Customer,23.0,Business travel,Eco,1178,1,1,1,3,3.0,1.0,3,3,1,3,2.0,3,4,3,0,0.0,1
28389,28652,Male,Loyal Customer,54.0,Personal Travel,Eco,2404,2,3,2,3,5.0,2.0,5,5,2,1,4.0,4,4,5,0,0.0,1
44961,45715,Female,Loyal Customer,45.0,Business travel,Eco,852,4,5,1,1,1.0,2.0,2,4,4,4,4.0,2,4,2,0,42.0,1
24320,24583,Male,Loyal Customer,45.0,Business travel,Eco,526,5,3,3,3,5.0,5.0,5,5,3,4,1.0,2,4,5,0,0.0,0
104314,105567,Female,Loyal Customer,35.0,Business travel,Business,577,2,2,2,2,5.0,5.0,4,4,4,4,4.0,5,4,5,21,7.0,0
86406,87659,Male,Loyal Customer,62.0,Business travel,Business,1531,2,2,5,2,2.0,4.0,4,2,2,2,2.0,1,2,4,0,0.0,1
77112,78359,Female,Loyal Customer,58.0,Business travel,Business,1927,3,3,3,3,4.0,3.0,4,5,5,5,5.0,5,5,4,0,0.0,0
124693,125997,Female,Loyal Customer,21.0,Personal Travel,Business,328,2,4,2,4,2.0,2.0,2,2,4,3,4.0,4,4,2,0,0.0,1
52616,53862,Male,disloyal Customer,22.0,Business travel,Eco,140,4,0,3,2,2.0,3.0,2,2,5,4,4.0,5,5,2,0,0.0,0
119332,120594,Male,Loyal Customer,41.0,Personal Travel,Eco,980,3,2,4,4,5.0,4.0,5,5,1,2,4.0,4,4,5,0,0.0,1
125214,126518,Female,Loyal Customer,49.0,Business travel,Eco Plus,313,2,5,5,5,5.0,4.0,4,2,2,2,2.0,4,2,4,0,0.0,1
68691,69937,Female,disloyal Customer,36.0,Business travel,Business,2174,1,1,1,1,5.0,1.0,5,5,4,5,3.0,5,5,5,0,0.0,1
57220,58466,Male,Loyal Customer,48.0,Business travel,Business,1517,1,1,1,1,4.0,4.0,4,5,5,5,5.0,4,5,5,0,0.0,0
16036,16210,Female,Loyal Customer,43.0,Personal Travel,Eco,277,4,1,4,3,5.0,2.0,3,2,2,4,2.0,2,2,2,0,0.0,1
103417,104670,Male,Loyal Customer,8.0,Personal Travel,Eco,641,1,4,1,1,2.0,1.0,2,2,4,2,4.0,3,4,2,18,5.0,1
3219,3310,Female,disloyal Customer,22.0,Business travel,Business,315,0,0,0,1,4.0,0.0,3,4,5,2,5.0,3,4,4,0,12.0,0
53117,54363,Female,Loyal Customer,32.0,Personal Travel,Eco,1235,1,3,1,1,5.0,1.0,1,5,5,5,3.0,5,3,5,3,0.0,1
53762,55008,Female,Loyal Customer,56.0,Business travel,Business,1608,1,1,1,1,2.0,4.0,4,5,5,4,5.0,3,5,5,39,43.0,0
38847,39511,Male,Loyal Customer,35.0,Business travel,Business,1068,3,3,2,3,5.0,3.0,3,3,3,3,3.0,4,3,4,0,0.0,1
66214,67460,Male,Loyal Customer,22.0,Personal Travel,Eco,641,1,5,1,3,2.0,1.0,2,2,4,5,4.0,4,5,2,0,0.0,1
83177,84430,Male,Loyal Customer,38.0,Personal Travel,Eco,591,3,4,2,2,1.0,2.0,1,1,3,3,5.0,3,5,1,0,0.0,1
12433,12590,Female,disloyal Customer,17.0,Business travel,Eco,542,2,4,2,3,5.0,2.0,5,5,3,1,4.0,4,3,5,0,0.0,1
90877,92130,Female,Loyal Customer,46.0,Personal Travel,Eco,1535,2,2,3,4,5.0,4.0,3,3,3,3,3.0,2,3,3,4,0.0,1
108513,109766,Female,Loyal Customer,34.0,Business travel,Business,1011,4,4,4,4,5.0,5.0,4,5,5,5,5.0,3,5,3,50,98.0,0
119449,120711,Male,Loyal Customer,55.0,Personal Travel,Eco Plus,280,1,4,1,2,2.0,1.0,2,2,5,2,5.0,5,4,2,73,81.0,1
24832,25095,Male,Loyal Customer,56.0,Business travel,Eco,369,4,2,4,4,4.0,4.0,4,4,2,2,5.0,2,3,4,2,6.0,0
28545,28808,Female,disloyal Customer,25.0,Business travel,Eco,978,5,5,5,1,4.0,5.0,4,4,4,5,3.0,1,2,4,45,52.0,0
80931,82181,Female,Loyal Customer,11.0,Personal Travel,Eco Plus,237,1,4,1,4,2.0,1.0,3,2,3,1,4.0,3,3,2,12,7.0,1
91088,92341,Female,Loyal Customer,25.0,Business travel,Business,2486,5,5,5,5,5.0,5.0,5,5,3,5,4.0,5,3,5,0,8.0,0
31234,31551,Male,Loyal Customer,49.0,Personal Travel,Eco,862,3,4,3,4,3.0,3.0,3,3,5,4,5.0,3,5,3,86,86.0,1
25848,26111,Male,Loyal Customer,14.0,Business travel,Business,2051,1,1,1,1,2.0,2.0,2,2,4,3,5.0,4,5,2,5,0.0,0
65031,66277,Female,Loyal Customer,37.0,Business travel,Eco Plus,550,3,1,1,1,3.0,3.0,3,3,4,5,3.0,3,4,3,52,52.0,1
80007,81257,Male,Loyal Customer,40.0,Business travel,Business,1020,4,4,4,4,4.0,4.0,4,5,5,5,5.0,5,5,3,0,0.0,0
44387,45141,Male,disloyal Customer,48.0,Business travel,Eco,174,1,3,0,5,1.0,0.0,1,1,3,4,2.0,5,2,1,1,0.0,1
55998,57244,Female,Loyal Customer,29.0,Business travel,Business,2966,5,5,3,5,5.0,5.0,5,5,4,5,4.0,4,5,5,0,0.0,0
20710,20915,Female,Loyal Customer,30.0,Business travel,Business,3639,5,5,5,5,2.0,2.0,2,2,2,2,2.0,5,5,2,0,0.0,0
52980,54226,Male,Loyal Customer,38.0,Business travel,Business,3208,3,4,3,3,2.0,2.0,5,3,3,3,3.0,1,3,1,7,18.0,0
119537,120811,Female,Loyal Customer,51.0,Business travel,Business,2852,3,3,3,3,1.0,4.0,4,4,4,4,4.0,3,4,2,0,1.0,0
117961,119214,Male,Loyal Customer,68.0,Personal Travel,Eco,257,0,4,0,3,5.0,0.0,5,5,5,5,2.0,3,5,5,6,18.0,0
70654,71900,Male,Loyal Customer,40.0,Personal Travel,Eco,1726,4,4,4,1,4.0,4.0,4,4,3,4,4.0,4,5,4,0,4.0,0
67735,68981,Male,Loyal Customer,70.0,Personal Travel,Eco,700,3,5,3,4,4.0,3.0,5,4,5,2,5.0,4,5,4,0,0.0,1
66808,68054,Male,disloyal Customer,29.0,Business travel,Business,868,0,0,0,3,3.0,0.0,3,3,3,2,4.0,5,5,3,0,4.0,0
25530,25793,Male,Loyal Customer,56.0,Business travel,Eco,762,2,4,4,4,2.0,2.0,2,2,4,4,4.0,4,3,2,0,0.0,1
72419,73665,Male,disloyal Customer,26.0,Business travel,Business,192,3,0,3,3,4.0,3.0,4,4,4,3,4.0,3,5,4,0,0.0,1
37894,38484,Female,Loyal Customer,56.0,Business travel,Business,2465,5,5,5,5,4.0,4.0,5,4,4,4,4.0,3,4,5,0,0.0,0
40963,41627,Male,disloyal Customer,33.0,Business travel,Business,438,1,1,1,4,1.0,1.0,1,1,3,3,3.0,3,4,1,0,0.0,1
16891,17065,Male,Loyal Customer,37.0,Business travel,Business,282,3,3,3,3,4.0,4.0,5,4,4,4,4.0,3,4,3,12,10.0,0
6216,6320,Male,disloyal Customer,27.0,Business travel,Business,315,4,3,3,3,4.0,3.0,1,4,4,2,4.0,3,4,4,55,49.0,0
76104,77350,Male,Loyal Customer,27.0,Business travel,Business,599,2,2,2,2,5.0,5.0,5,5,3,2,4.0,3,4,5,0,0.0,0
50259,51505,Male,disloyal Customer,20.0,Business travel,Eco,370,4,0,4,5,4.0,4.0,4,4,2,5,2.0,5,5,4,0,0.0,1
4596,4688,Female,Loyal Customer,58.0,Personal Travel,Eco,489,2,3,2,1,3.0,1.0,2,1,1,2,1.0,4,1,4,0,0.0,1
111547,112800,Male,Loyal Customer,25.0,Business travel,Business,1642,3,3,3,3,3.0,4.0,3,3,5,4,4.0,3,5,3,19,1.0,0
37982,38572,Female,Loyal Customer,24.0,Personal Travel,Eco,2475,2,4,2,2,4.0,2.0,4,4,4,3,4.0,5,4,4,3,0.0,1
52875,54121,Male,Loyal Customer,47.0,Business travel,Business,1569,4,4,4,4,2.0,5.0,3,4,4,4,4.0,4,4,2,0,0.0,0
75448,76694,Female,Loyal Customer,45.0,Personal Travel,Eco,547,2,5,2,5,4.0,5.0,4,5,5,2,5.0,5,5,5,0,17.0,1
37285,37875,Male,Loyal Customer,46.0,Business travel,Eco,1065,3,5,5,5,3.0,3.0,3,3,2,2,4.0,2,4,3,0,0.0,1
39812,40476,Male,Loyal Customer,41.0,Business travel,Business,3155,3,2,2,2,4.0,4.0,4,3,3,3,3.0,1,3,4,0,14.0,1
54028,55274,Male,disloyal Customer,22.0,Business travel,Business,1839,5,5,5,1,4.0,5.0,4,4,5,5,4.0,4,5,4,20,12.0,0
66259,67505,Male,disloyal Customer,49.0,Business travel,Business,1188,3,3,3,3,5.0,3.0,5,5,3,4,5.0,3,5,5,2,19.0,1
115372,116625,Female,Loyal Customer,73.0,Business travel,Eco Plus,390,3,5,5,5,5.0,3.0,4,3,3,3,3.0,4,3,2,9,2.0,1
93410,94663,Male,Loyal Customer,34.0,Business travel,Business,3849,1,2,5,2,1.0,4.0,3,1,1,1,1.0,3,1,2,2,0.0,1
14821,14995,Female,Loyal Customer,71.0,Business travel,Business,1201,3,3,5,3,4.0,2.0,1,4,4,4,4.0,3,4,2,11,0.0,0
92595,93848,Male,Loyal Customer,69.0,Personal Travel,Eco,391,3,4,3,1,3.0,3.0,3,3,5,2,4.0,3,4,3,6,3.0,1
118088,119341,Male,Loyal Customer,46.0,Personal Travel,Eco,214,3,2,0,4,4.0,0.0,3,4,4,2,3.0,3,3,4,0,0.0,1
99461,100714,Male,Loyal Customer,48.0,Business travel,Business,328,0,0,0,4,2.0,5.0,5,4,4,4,4.0,3,4,3,1,5.0,0
95137,96390,Female,Loyal Customer,30.0,Business travel,Business,1342,2,2,2,2,5.0,5.0,5,5,3,5,5.0,3,4,5,41,31.0,0
15790,15964,Female,Loyal Customer,17.0,Personal Travel,Eco,473,4,5,4,3,4.0,4.0,4,4,3,5,5.0,4,3,4,0,0.0,1
120701,121975,Female,Loyal Customer,51.0,Business travel,Business,185,3,3,3,3,2.0,5.0,4,3,3,4,5.0,3,3,3,0,0.0,0
85626,86879,Female,Loyal Customer,36.0,Personal Travel,Eco Plus,692,1,5,1,3,1.0,3.0,3,4,4,4,5.0,3,4,3,163,142.0,1
